FID	IID	PRS
ID_752	ID_752	-0.00819711
ID_753	ID_753	-0.00537108
ID_754	ID_754	0.00573112
ID_755	ID_755	0.00978779
ID_756	ID_756	-0.000854766
ID_757	ID_757	0.00520763
ID_758	ID_758	0.00778551
ID_759	ID_759	0.00383249
ID_760	ID_760	0.00303299
ID_761	ID_761	0.00354679
ID_762	ID_762	-0.00196151
ID_763	ID_763	0.000825305
ID_764	ID_764	-0.00352861
ID_765	ID_765	-0.00484463
ID_766	ID_766	-0.00572672
ID_767	ID_767	0.00477324
ID_768	ID_768	0.00135382
ID_769	ID_769	0.000498344
ID_770	ID_770	0.00261795
ID_771	ID_771	-0.00139888
ID_772	ID_772	0.0072296
ID_773	ID_773	0.00695423
ID_774	ID_774	-0.0028309
ID_775	ID_775	0.00418135
ID_776	ID_776	6.8032e-05
ID_777	ID_777	0.00201763
ID_778	ID_778	0.000920682
ID_779	ID_779	-0.0151613
ID_780	ID_780	0.00383877
ID_781	ID_781	0.000692778
ID_782	ID_782	-0.0150729
ID_783	ID_783	-0.00181735
ID_784	ID_784	0.00351282
ID_785	ID_785	0.00774983
ID_786	ID_786	-0.00528206
ID_787	ID_787	0.00639158
ID_788	ID_788	-0.00178386
ID_789	ID_789	-0.00691104
ID_790	ID_790	0.00165914
ID_791	ID_791	-0.0110168
ID_792	ID_792	-0.00553068
ID_793	ID_793	-0.0050846
ID_794	ID_794	0.00123486
ID_795	ID_795	0.000490647
ID_796	ID_796	0.00166173
ID_797	ID_797	-0.00829259
ID_798	ID_798	0.00634692
ID_799	ID_799	-0.00476473
ID_800	ID_800	0.000803228
ID_801	ID_801	0.00684748
ID_802	ID_802	0.00431868
ID_803	ID_803	0.0110153
ID_804	ID_804	0.00320719
ID_805	ID_805	0.00481797
ID_806	ID_806	0.00440422
ID_807	ID_807	-0.00156361
ID_808	ID_808	-8.25224e-05
ID_809	ID_809	-0.000870716
ID_810	ID_810	0.00311466
ID_811	ID_811	-0.00640889
ID_812	ID_812	0.00153699
ID_813	ID_813	0.000857469
ID_814	ID_814	0.0172312
ID_815	ID_815	0.00360681
ID_816	ID_816	-0.00365333
ID_817	ID_817	0.00619742
