FID	IID	PRS
ID_763	ID_763	-0.00250168
ID_764	ID_764	-0.000686008
ID_765	ID_765	-0.00150621
ID_766	ID_766	0.0084178
ID_767	ID_767	0.000319165
ID_768	ID_768	-0.00164131
ID_769	ID_769	0.00209645
ID_770	ID_770	-0.00630412
ID_771	ID_771	-0.000935619
ID_772	ID_772	-0.00854573
ID_773	ID_773	-0.00674669
ID_774	ID_774	0.00226161
ID_775	ID_775	-0.00847408
ID_776	ID_776	-0.00240809
ID_777	ID_777	0.00276878
ID_778	ID_778	0.00163702
ID_779	ID_779	0.00913449
ID_780	ID_780	0.00511197
ID_781	ID_781	-0.00544325
ID_782	ID_782	-0.000548679
ID_783	ID_783	0.00242839
ID_784	ID_784	-0.000746374
ID_785	ID_785	-0.00574787
ID_786	ID_786	-0.00053352
ID_787	ID_787	-0.00710552
ID_788	ID_788	-0.00619647
ID_789	ID_789	0.00505313
ID_790	ID_790	-0.000477805
ID_791	ID_791	0.000699611
ID_792	ID_792	0.00528867
ID_793	ID_793	-0.00237308
ID_794	ID_794	0.0026524
ID_795	ID_795	0.0040401
ID_796	ID_796	-0.00539686
ID_797	ID_797	0.0108232
ID_798	ID_798	-0.000149404
ID_799	ID_799	0.00185475
ID_800	ID_800	-0.00582867
ID_801	ID_801	-0.00049343
ID_802	ID_802	-0.0057351
ID_803	ID_803	0.00224763
ID_804	ID_804	0.00576735
ID_805	ID_805	0.00576562
ID_806	ID_806	-0.00388836
ID_807	ID_807	-0.00222446
ID_808	ID_808	0.0084691
ID_809	ID_809	0.00474157
ID_810	ID_810	-0.00492475
ID_811	ID_811	-0.00215111
ID_812	ID_812	-0.00620066
ID_813	ID_813	0.000893799
ID_814	ID_814	-0.00178584
ID_815	ID_815	-0.00339339
ID_816	ID_816	-0.00584409
ID_817	ID_817	0.0103515
ID_818	ID_818	0.00262341
ID_819	ID_819	0.00590014
ID_820	ID_820	0.00449658
ID_821	ID_821	0.0115893
ID_822	ID_822	0.000768577
ID_823	ID_823	0.00102605
ID_824	ID_824	-0.000751918
ID_825	ID_825	-0.000828751
ID_826	ID_826	-0.00367471
ID_827	ID_827	0.008264
ID_828	ID_828	0.00239752
ID_829	ID_829	-0.00464892
ID_830	ID_830	0.00632747
ID_831	ID_831	0.000161754
ID_832	ID_832	-0.00468108
ID_833	ID_833	0.00106723
ID_834	ID_834	-0.0037245
ID_835	ID_835	-0.00661457
ID_836	ID_836	-0.0043287
ID_837	ID_837	0.00558016
ID_838	ID_838	0.00431947
ID_839	ID_839	-0.00637034
ID_840	ID_840	0.000716126
ID_841	ID_841	0.00369639
ID_842	ID_842	-3.89489e-05
ID_843	ID_843	-0.000759789
ID_844	ID_844	-0.00148036
ID_845	ID_845	0.0011239
